ID,MA,FA,Cs,Pb,Sn,Br,Cl,I,Bandgap
128,0.7,0.3,0,1,0,0,0,1,1.57
129,1,0,0,1,0,0,0,1,1.53
130,1,0,0,1,0,0,0.25,0.75,1.581
131,1,0,0,1,0,0,0.333,0.667,1.61
132,1,0,0,1,0,0,0.167,0.833,1.543
133,1,0,0,1,0,0,0.083,0.917,1.516
134,1,0,0,1,0,0.5,0,0.5,1.95
135,0,0,1,1,0,1,0,0,2.32
136,0,0,1,1,0,0.8,0.2,0,2.59
137,0,0,1,1,0,0.55,0,0.45,2.16
138,0,0.83,0.17,1,0,0.5,0,0.5,1.86
139,0,0.83,0.17,1,0,0.6,0,0.4,1.93
140,0.5,0.5,0,0.75,0.25,0,0,1,1.33
141,0,0,1,1,0,1,0,0,2.34
142,0,0,1,1,0,0.5,0,0.5,1.91
143,0.1,0.9,0,1,0,0.1,0,0.9,1.6
144,0,0,1,1,0,0.67,0,0.33,2.05
145,0,0.75,0.25,0.5,0.5,0,0,1,1.2
146,0,0.75,0.25,0.5,0.5,0.5,0,0.5,1.8
147,0,0.75,0.25,0.5,0.5,0.17,0,0.83,1.6
148,0.85,0.15,0,1,0,0.15,0,0.85,1.75
149,1,0,0,1,0,1,0,0,2.18
150,1,0,0,0.74,0.26,1,0,0,1.88
151,1,0,0,0,1,1,0,0,2.02
152,0.6,0.4,0,1,0,0,0,1,1.53
153,0.13,0.87,0,1,0,0,0,1,1.52
154,0.25,0.75,0,1,0,0,0,1,1.545
155,0.9,0,0.1,1,0,0,0,1,1.54
156,0,0.9,0.1,1,0,0,0,1,1.55
157,0,0.8,0.2,1,0,0,0,1,1.56
158,0,0.8,0.2,1,0,0.053,0,0.947,1.58
159,0.15,0.85,0,1,0,0.15,0,0.85,1.57
160,0.333,0.667,0,1,0,0.333,0,0.667,1.64
161,0,0.8,0.2,1,0,0.053,0,0.947,1.49
162,0,0,1,1,0,0,1,0,2.78
163,0.9,0,0.1,1,0,0.4,0,0.6,1.82
164,1,0,0,1,0,0,0,1,1.55
165,0.9,0,0.1,0.75,0.25,0,0,1,1.39
166,0.9,0,0.1,0.5,0.5,0,0,1,1.28
167,0.9,0,0.1,0.25,0.75,0,0,1,1.26
168,1,0,0,0.9,0.1,0.667,0,0.333,1.79
169,1,0,0,0.75,0.25,0,0,1,1.24
170,1,0,0,0.85,0.15,0,0,1,1.32
171,0,0.85,0.15,1,0,0.7,0,0.3,2
172,0.81,0,0.19,1,0,0,0,1,1.58
173,0.15,0.8,0.05,1,0,0.15,0,0.85,1.63
174,1,0,0,0.25,0.75,0,0,1,1.27
175,1,0,0,0.75,0.25,1,0,0,2.03
176,1,0,0,0.75,0.25,0.9,0,0.1,1.99
177,1,0,0,0.75,0.25,0.8,0,0.2,1.9
178,1,0,0,0.75,0.25,0.7,0,0.3,1.8
179,1,0,0,0.75,0.25,0.6,0,0.4,1.73
180,1,0,0,0.75,0.25,0.5,0,0.5,1.65
181,1,0,0,0.75,0.25,0.4,0,0.6,1.59
182,1,0,0,0.75,0.25,0.3,0,0.7,1.53
183,1,0,0,0.75,0.25,0,0,1,1.35
184,1,0,0,0.9,0.1,0,0,1,1.24
185,0,0.8,0.2,0.5,0.5,0,0,1,1.28
186,1,0,0,0.25,0.75,0.4,0,0.6,1.34
187,1,0,0,1,0,0.29,0,0.71,1.71
188,0.17,0.83,0,1,0,0.16,0,0.84,1.63
189,0.38,0.5,0.12,1,0,0.32,0,0.68,1.69
190,0.14,0.77,0.09,1,0,0.86,0,0.14,1.59
191,0,0,1,0,1,0.5,0,0.5,1.77
192,0,0,1,0,1,0.333,0.667,0,2.1
193,0,0,1,0,1,0.667,0.333,0,1.9
194,0,0,1,0,1,0,1,0,2.8
195,1,0,0,1,0,0,0.0666,0.9334,1.6
196,0.03,0.97,0,1,0,0.015,0.015,0.97,1.561
197,0,1,0,1,0,0,0,1,1.53
198,0,0.97,0.03,1,0,0,0,1,1.53
199,0,0.93,0.07,1,0,0,0,1,1.54
200,0,0.83,0.17,1,0,0,0,1,1.56
201,1,0,0,0.68,0.32,1,0,0,1.8
202,1,0,0,0,1,0,0,1,1.24
203,0,1,0,0,1,0,0,1,1.24
203,0,0,1,0,1,0,0,1,1.25
