iter	Passed	Remaining
408	21947	436316
409	22014	436533
410	22076	436637
411	22141	436802
412	22209	437031
413	22272	437155
414	22331	437218
415	22396	437368
416	22458	437487
417	22526	437699
418	22587	437795
419	22656	438034
420	22720	438168
421	22780	438229
422	22844	438358
423	22904	438429
424	22967	438548
425	23029	438650
426	23098	438877
427	23162	438996
428	23224	439101
429	23289	439259
430	23349	439313
431	23413	439440
432	23469	439420
433	23529	439475
434	23590	439539
435	23651	439620
436	23709	439625
437	23770	439701
438	23831	439771
439	23893	439852
440	23952	439892
441	24014	439981
442	24079	440125
443	24139	440164
444	24202	440259
445	24267	440404
446	24328	440473
447	24362	440054
448	24427	440192
449	24489	440259
450	24555	440418
451	24619	440534
452	24681	440617
453	24744	440707
454	24832	441246
455	24896	441364
456	24963	441539
457	25020	441527
458	25084	441623
459	25147	441728
460	25218	441945
461	25287	442144
462	25350	442237
463	25408	442244
464	25475	442391
465	25556	442802
466	25622	442931
467	25685	443024
468	25749	443124
469	25811	443188
470	25876	443301
471	25939	443396
472	26003	443492
473	26065	443559
474	26126	443592
475	26187	443643
476	26251	443739
477	26313	443803
478	26371	443793
479	26430	443814
480	26490	443840
481	26550	443870
482	26614	443968
483	26681	444103
484	26744	444173
485	26803	444186
486	26865	444240
487	26927	444308
488	26989	444363
489	27054	444469
490	27113	444481
491	27183	444652
492	27242	444659
493	27245	443753
494	27304	443772
495	27366	443821
496	27429	443886
497	27494	443995
498	27559	444093
499	27621	444156
500	27684	444229
501	27752	444366
502	27813	444411
503	27886	444627
504	27947	444673
505	28009	444716
506	28066	444696
507	28134	444832
508	28192	444816
509	28252	444844
510	28311	444834
511	28371	444863
512	28433	444901
513	28497	444974
514	28558	445010
515	28618	445036
516	28682	445111
517	28750	445251
518	28811	445273
519	28874	445336
520	28934	445341
521	28992	445330
522	29057	445412
523	29113	445371
524	29174	445390
525	29228	445323
526	29282	445242
527	29337	445178
528	29399	445223
529	29456	445175
530	29511	445123
531	29571	445129
532	29633	445167
533	29695	445207
534	29698	444365
535	29754	444319
536	29814	444323
537	29878	444396
538	29939	444425
539	30002	444484
540	30065	444530
541	30129	444603
542	30199	444755
